Date,Open,Low,High,Close,Change,ChangePercent
1398/07/01,40300000,40230000,40490000,40310000,160000.0,0.4
1398/07/02,40250000,40180000,40420000,40250000,60000.0,0.15
1398/07/03,40210000,40170000,40340000,40230000,20000.0,0.05
1398/07/05,40260000,39940000,40320000,40060000,170000.0,0.42
1398/07/06,40030000,40030000,40230000,40180000,120000.0,0.3
1398/07/07,40230000,40170000,40340000,40290000,110000.0,0.27
1398/07/08,40260000,39780000,40290000,39820000,470000.0,1.18
1398/07/09,39860000,39840000,40050000,39970000,150000.0,0.38
1398/07/10,40160000,40090000,40220000,40180000,210000.0,0.53
1398/07/12,40210000,40000000,40260000,40060000,120000.0,0.3
1398/07/13,39990000,39910000,40050000,40030000,30000.0,0.07
1398/07/14,40050000,39950000,40070000,40000000,30000.0,0.08
1398/07/15,39980000,39950000,40170000,40090000,90000.0,0.23
1398/07/16,40170000,40020000,40210000,40050000,40000.0,0.1
1398/07/17,40070000,40020000,40110000,40080000,30000.0,0.07
1398/07/19,40020000,39740000,40030000,39780000,300000.0,0.75
1398/07/20,39820000,39540000,39850000,39620000,160000.0,0.4
1398/07/21,39650000,39530000,39700000,39660000,40000.0,0.1
1398/07/22,39600000,39590000,39800000,39690000,30000.0,0.08
1398/07/23,39720000,39540000,39770000,39680000,10000.0,0.03
1398/07/24,39660000,39610000,39700000,39660000,20000.0,0.05
1398/07/27,39610000,39580000,39610000,39590000,70000.0,0.18
1398/07/28,39610000,39580000,39610000,39610000,20000.0,0.05
1398/07/29,39550000,39000000,39570000,39030000,580000.0,1.49
1398/07/30,38990000,38860000,39900000,38880000,150000.0,0.39
1398/08/01,38540000,38380000,38580000,38440000,440000.0,1.14
1398/08/03,38660000,38610000,39030000,39010000,570000.0,1.48
1398/08/05,39130000,39100000,39330000,39180000,170000.0,0.44
1398/08/07,38940000,38890000,39130000,39090000,90000.0,0.23
1398/08/08,39280000,39240000,39390000,39380000,290000.0,0.74
1398/08/10,39710000,39600000,39980000,39850000,470000.0,1.19
1398/08/11,40280000,39730000,40280000,39850000,,
1398/08/12,39820000,39610000,39940000,39790000,60000.0,0.15
1398/08/13,39910000,39830000,40180000,40030000,240000.0,0.6
1398/08/15,39940000,39780000,40010000,39830000,200000.0,0.5
1398/08/17,39390000,39220000,39780000,39660000,170000.0,0.43
1398/08/18,39730000,39590000,39930000,39860000,200000.0,0.5
1398/08/19,40080000,39770000,40190000,39870000,10000.0,0.03
1398/08/20,39960000,39800000,40040000,40020000,150000.0,0.38
1398/08/21,40250000,40080000,40460000,40430000,410000.0,1.02
1398/08/22,40360000,40330000,40620000,40560000,130000.0,0.32
1398/08/24,41110000,40950000,42160000,42100000,1540000.0,3.8
1398/08/25,42130000,42100000,42710000,42710000,610000.0,1.45
1398/08/26,42680000,41930000,42710000,41930000,780000.0,1.86
1398/08/27,41960000,41480000,41960000,41480000,450000.0,1.08
1398/08/28,41510000,40830000,41610000,40830000,650000.0,1.59
1398/08/29,40860000,40830000,41560000,41530000,700000.0,1.71
1398/09/01,41650000,41340000,41810000,41700000,170000.0,0.41
1398/09/02,41950000,41820000,42780000,42280000,580000.0,1.39
1398/09/03,42580000,42580000,43250000,43060000,780000.0,1.84
1398/09/04,42810000,42250000,42840000,42510000,550000.0,1.29
1398/09/05,42250000,42130000,43560000,43240000,730000.0,1.72
1398/09/06,43800000,43360000,43880000,43650000,410000.0,0.95
1398/09/08,44020000,43360000,44110000,43450000,200000.0,0.46
1398/09/09,43420000,43330000,44500000,44170000,720000.0,1.66
1398/09/10,44240000,43840000,44560000,44060000,110000.0,0.25
1398/09/11,44270000,43860000,44570000,44530000,470000.0,1.07
1398/09/12,44730000,44730000,45610000,45410000,880000.0,1.98
1398/09/13,45500000,45460000,45770000,45690000,280000.0,0.62
1398/09/15,45400000,45060000,46360000,45890000,200000.0,0.44
1398/09/16,45960000,45930000,46560000,46200000,310000.0,0.68
1398/09/17,46580000,46280000,47060000,47000000,800000.0,1.73
1398/09/18,46990000,46010000,47830000,46020000,980000.0,2.13
1398/09/19,46330000,45120000,46380000,45340000,680000.0,1.5
1398/09/20,45280000,44270000,45280000,44490000,850000.0,1.91
1398/09/22,45110000,43170000,45260000,43210000,1280000.0,2.96
1398/09/23,43310000,42690000,44460000,44210000,1000000.0,2.31
1398/09/24,44030000,43780000,44910000,44710000,500000.0,1.13
1398/09/25,44340000,44310000,44980000,44960000,250000.0,0.56
1398/09/26,45020000,43930000,45110000,44110000,850000.0,1.93
1398/09/27,44270000,44210000,44910000,44830000,720000.0,1.63
1398/09/29,45510000,45350000,45960000,45590000,760000.0,1.7
1398/09/30,45730000,44840000,46010000,45110000,480000.0,1.06
1398/10/01,45080000,44700000,45580000,45410000,300000.0,0.67
1398/10/02,45600000,45080000,45780000,45420000,10000.0,0.02
1398/10/03,45200000,45150000,45810000,45720000,300000.0,0.66
1398/10/04,45930000,45790000,46140000,46080000,360000.0,0.79
1398/10/06,45950000,45760000,46200000,46040000,40000.0,0.09
1398/10/07,45950000,45570000,46170000,45660000,380000.0,0.83
1398/10/08,45710000,45530000,45870000,45830000,170000.0,0.37
1398/10/09,46350000,46260000,46770000,46550000,720000.0,1.57
1398/10/10,46730000,46190000,46730000,46300000,250000.0,0.54
1398/10/11,46360000,46300000,46800000,46760000,460000.0,0.99
1398/10/13,48680000,48130000,49040000,48990000,2230000.0,4.77
1398/10/14,49090000,49060000,50780000,50680000,1690000.0,3.45
1398/10/15,52110000,50560000,52430000,50840000,160000.0,0.32
1398/10/16,51080000,50760000,51730000,51310000,470000.0,0.92
1398/10/17,52310000,49190000,52310000,49310000,2000000.0,4.06
1398/10/18,47290000,46330000,47530000,47400000,1910000.0,4.03
1398/10/20,47530000,46480000,48180000,47000000,400000.0,0.85
1398/10/21,47100000,46980000,48050000,47880000,880000.0,1.87
1398/10/22,47600000,47530000,48060000,47760000,120000.0,0.25
1398/10/23,47570000,47140000,48550000,48330000,570000.0,1.19
1398/10/24,48440000,48410000,49110000,48570000,240000.0,0.5
1398/10/25,48830000,48690000,49110000,49090000,520000.0,1.07
1398/10/27,48620000,48300000,48930000,48430000,660000.0,1.36
1398/10/28,48420000,48250000,48870000,48870000,440000.0,0.91
1398/10/29,49010000,48790000,49100000,48890000,20000.0,0.04
1398/10/30,48850000,48310000,48960000,48450000,440000.0,0.91
1398/11/01,48430000,48380000,48920000,48740000,290000.0,0.6
1398/11/02,48910000,48810000,48980000,48940000,200000.0,0.41
1398/11/04,49260000,49010000,49360000,49260000,320000.0,0.65
1398/11/05,49210000,49210000,49600000,49550000,290000.0,0.59
1398/11/06,49810000,49740000,50290000,50120000,570000.0,1.15
1398/11/07,50160000,49900000,50370000,50200000,80000.0,0.16
1398/11/08,50200000,50200000,50200000,50200000,,
1398/11/09,50190000,50190000,50470000,50440000,240000.0,0.48
1398/11/10,50440000,50440000,50440000,50440000,,
1398/11/11,50510000,49720000,50650000,49810000,630000.0,1.26
1398/11/12,49710000,49340000,49960000,49930000,120000.0,0.24
1398/11/13,49690000,49660000,50090000,49840000,90000.0,0.18
1398/11/14,50030000,49250000,50050000,49270000,570000.0,1.16
1398/11/15,49470000,49210000,49660000,49660000,390000.0,0.79
1398/11/16,49610000,49560000,49750000,49660000,,
1398/11/18,49680000,49670000,50360000,50250000,590000.0,1.19
1398/11/19,50480000,50420000,50780000,50650000,400000.0,0.8
1398/11/20,50660000,50600000,50970000,50880000,230000.0,0.45
1398/11/21,50880000,50880000,50880000,50880000,,
1398/11/22,50700000,50120000,51270000,51270000,390000.0,0.77
1398/11/23,51300000,50640000,51550000,50720000,550000.0,1.08
1398/11/24,50720000,50720000,50720000,50720000,,
1398/11/25,50960000,50940000,52110000,51990000,1270000.0,2.5
1398/11/26,52040000,51440000,52190000,52020000,30000.0,0.06
1398/11/27,51950000,51740000,52400000,52300000,280000.0,0.54
1398/11/28,52210000,52190000,52760000,52760000,460000.0,0.88
1398/11/29,52910000,52440000,53230000,53060000,300000.0,0.57
1398/11/30,52940000,52940000,53380000,53300000,240000.0,0.45
1398/12/01,53300000,53300000,53300000,53300000,,
1398/12/02,55360000,55090000,58710000,57260000,3960000.0,7.43
1398/12/03,58390000,56190000,58410000,56710000,550000.0,0.97
1398/12/04,58240000,58240000,61010000,60990000,4280000.0,7.55
1398/12/05,60210000,59140000,61710000,61410000,420000.0,0.69
1398/12/06,60990000,59890000,61660000,60960000,450000.0,0.74
1398/12/07,61110000,59990000,61210000,60240000,720000.0,1.2
1398/12/08,60240000,60240000,60240000,60240000,,
1398/12/09,56430000,54690000,57160000,56600000,3640000.0,6.43
1398/12/10,56710000,56690000,59410000,59160000,2560000.0,4.52
1398/12/11,60610000,58280000,61200000,58960000,200000.0,0.34
1398/12/12,58600000,57190000,59410000,58910000,50000.0,0.08
1398/12/13,59750000,58790000,59810000,59210000,300000.0,0.51
1398/12/14,57810000,57390000,59410000,59190000,20000.0,0.03
1398/12/15,59190000,59190000,59190000,59190000,,
1398/12/16,59460000,56010000,60210000,59940000,750000.0,1.27
1398/12/17,59940000,59940000,59940000,59940000,,
1398/12/18,61240000,60240000,61610000,60390000,450000.0,0.75
1398/12/19,59610000,59440000,59910000,59790000,600000.0,1.0
1398/12/20,59770000,59770000,60310000,60060000,270000.0,0.45
1398/12/21,60040000,58990000,60060000,60010000,50000.0,0.08
1398/12/22,60010000,60010000,60010000,60010000,,
1398/12/23,59540000,58240000,59560000,59660000,350000.0,0.59
1398/12/24,59210000,59190000,60500000,60500000,840000.0,1.41
1398/12/25,59540000,59540000,61960000,59940000,560000.0,0.93
1398/12/26,59960000,59940000,60750000,60440000,500000.0,0.83
1398/12/27,60460000,60080000,60900000,60280000,160000.0,0.27
1398/12/28,60280000,60280000,60280000,60280000,,
1399/01/05,61580000,60970000,61620000,61270000,990000.0,1.64
1399/01/06,61300000,61220000,61400000,61380000,110000.0,0.18
1399/01/07,61380000,61380000,61380000,61380000,,
1399/01/08,61870000,61870000,62350000,62350000,970000.0,1.58
1399/01/09,62330000,62320000,64150000,64130000,1780000.0,2.85
1399/01/10,64450000,64370000,65400000,65070000,940000.0,1.47
1399/01/11,64700000,64270000,65300000,64630000,440000.0,0.68
1399/01/12,64630000,64630000,64630000,64630000,,
1399/01/13,63250000,63220000,63900000,63900000,730000.0,1.14
1399/01/14,63900000,63900000,63900000,63900000,,
1399/01/15,64470000,63520000,65250000,65070000,1170000.0,1.83
1399/01/16,65250000,64580000,65800000,64930000,140000.0,0.22
1399/01/17,65150000,64080000,65400000,64500000,430000.0,0.67
1399/01/18,65150000,64130000,65550000,64280000,220000.0,0.34
1399/01/19,64300000,63480000,64300000,63850000,430000.0,0.67
1399/01/20,63850000,63630000,63850000,63850000,,
1399/01/22,63650000,63630000,65500000,64980000,1130000.0,1.77
1399/01/23,65630000,65330000,65800000,65330000,350000.0,0.54
1399/01/24,65380000,64580000,65400000,65030000,300000.0,0.46
1399/01/25,65210000,64780000,65350000,64850000,180000.0,0.28
1399/01/26,65030000,64630000,65150000,64780000,70000.0,0.11
1399/01/27,64150000,63730000,64380000,63900000,880000.0,1.38
1399/01/28,63900000,63900000,63900000,63900000,,
1399/01/29,63850000,62180000,63950000,62380000,1520000.0,2.44
1399/01/30,62000000,61780000,63150000,62250000,130000.0,0.21
1399/01/31,61680000,61580000,62800000,62250000,,
1399/02/01,62630000,62480000,63100000,62980000,730000.0,1.17
1399/02/02,63200000,63180000,65050000,65050000,2070000.0,3.29
1399/02/03,65300000,64730000,65550000,64950000,100000.0,0.15
1399/02/04,64950000,64950000,64950000,64950000,,
1399/02/05,64380000,64080000,65250000,65000000,50000.0,0.08
1399/02/06,65340000,64730000,65450000,64810000,190000.0,0.29
1399/02/07,64140000,63980000,64760000,64640000,170000.0,0.26
1399/02/08,64630000,64050000,64790000,64460000,180000.0,0.28
1399/02/09,64910000,64630000,65010000,64670000,210000.0,0.33
1399/02/10,64820000,64730000,65030000,64740000,70000.0,0.11
1399/02/11,64740000,64740000,64740000,64740000,,
1399/02/12,64310000,63680000,64430000,63940000,800000.0,1.25
1399/02/13,63980000,63680000,64290000,64240000,300000.0,0.47
1399/02/14,64790000,64700000,65270000,65220000,980000.0,1.53
1399/02/15,65030000,64800000,65420000,65280000,60000.0,0.09
1399/02/16,65730000,65680000,66270000,66040000,760000.0,1.16
1399/02/17,66230000,66230000,66780000,66730000,690000.0,1.04
1399/02/18,66730000,66730000,66730000,66730000,,
1399/02/19,67080000,66670000,68670000,68630000,1900000.0,2.85
1399/02/20,69060000,68220000,69670000,68720000,90000.0,0.13
1399/02/21,69210000,68970000,70020000,69970000,1250000.0,1.82
1399/02/22,70310000,70270000,71340000,70660000,690000.0,0.99
1399/02/23,71210000,69700000,71510000,69700000,960000.0,1.38
1399/02/24,69540000,68540000,79760000,69060000,640000.0,0.93
1399/02/25,69060000,69060000,69060000,69060000,,
1399/02/26,71030000,70780000,71710000,71710000,2650000.0,3.84
1399/02/27,73170000,71530000,73260000,73190000,1480000.0,2.06
1399/02/28,74280000,72570000,74710000,73050000,140000.0,0.19
1399/02/29,72300000,72070000,74150000,73760000,710000.0,0.97
1399/02/30,74360000,74280000,75350000,75120000,1360000.0,1.84
1399/02/31,74480000,74120000,74950000,74260000,860000.0,1.16
1399/03/01,74260000,74260000,74260000,74260000,,
1399/03/02,74280000,74250000,74280000,74280000,20000.0,0.03
1399/03/03,74280000,74280000,74280000,74280000,,
1399/03/05,75100000,73920000,75420000,74020000,260000.0,0.35
1399/03/06,73620000,72270000,73650000,72630000,1390000.0,1.91
1399/03/07,73080000,72870000,73700000,73700000,1070000.0,1.47
1399/03/08,73700000,73700000,73700000,73700000,,
